"address","location/lat","location/lng","name","numberOfGuests","pricing/rate/amount","pricing/rate/amount_formatted","pricing/rate/currency","pricing/rate/is_micros_accuracy","pricing/rate_type","pricing/rate_with_service_fee/amount","pricing/rate_with_service_fee/amount_formatted","pricing/rate_with_service_fee/currency","pricing/rate_with_service_fee/is_micros_accuracy","roomType","stars","url"
"Dubai, United Arab Emirates","25.1932","55.27298","Elite Royal Suit | 3 Beds | Full Burj Khalifa View","8","15000","ﺩ.ﺇ15,000","AED","false","nightly","15000","ﺩ.ﺇ15,000","AED","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/49183596"
"Dubai, United Arab Emirates","25.19365","55.27483","Elite Royal Suit | 2+1BR | Full Burj Khalifa View","8","15000","ﺩ.ﺇ15,000","AED","false","nightly","15000","ﺩ.ﺇ15,000","AED","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/49192540"
"Dubai, United Arab Emirates","25.18645","55.29041","Skyline Two bedroom Burj Khalifa Near","5","14786","ﺩ.ﺇ14,786","AED","false","nightly","14786","ﺩ.ﺇ14,786","AED","false","Entire serviced apartment","5","https://www.airbnb.com/rooms/40515145"
"Dubai, United Arab Emirates","25.12868","55.13434","Palm Jumeirah's Largest Beachfront Estate","16","8071","ﺩ.ﺇ8,071","AED","false","nightly","8071","ﺩ.ﺇ8,071","AED","false","Entire villa",,"https://www.airbnb.com/rooms/44388560"
"Dubai, United Arab Emirates","25.194","55.281","FV - 4 bed Room - w burj view","10","6000","ﺩ.ﺇ6,000","AED","false","nightly","6000","ﺩ.ﺇ6,000","AED","false","Entire serviced apartment","5","https://www.airbnb.com/rooms/38971013"
"دبي, United Arab Emirates","25.11168","55.13922","Luxurious 5 BDR villa in Palm Jumeirah","10","5750","ﺩ.ﺇ5,750","AED","false","nightly","5750","ﺩ.ﺇ5,750","AED","false","Entire villa",,"https://www.airbnb.com/rooms/50097230"
"Dubai, United Arab Emirates","25.129","55.153","Royal Amwaj, Palm 1BR with resort access, sea view","3","5850","ﺩ.ﺇ5,850","AED","false","nightly","5850","ﺩ.ﺇ5,850","AED","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/45050246"
"Dubai, United Arab Emirates","25.107","55.13","5 Bedroom Villa with pool, beach - Palm Jumeirah","10","5000","ﺩ.ﺇ5,000","AED","false","nightly","5000","ﺩ.ﺇ5,000","AED","false","Entire villa","5","https://www.airbnb.com/rooms/46441600"
"Dubai, United Arab Emirates","25.19827","55.27018","Beautifully decorated 1 bedroom apt Standpoint, Downtown","2","7346","ﺩ.ﺇ7,346","AED","false","nightly","7346","ﺩ.ﺇ7,346","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/31245567"
"Dubai, United Arab Emirates","25.11936","55.13734","Triple Storey 7BR+M Villa w/Private Pool/Beach","14","7200","ﺩ.ﺇ7,200","AED","false","nightly","7200","ﺩ.ﺇ7,200","AED","false","Entire villa",,"https://www.airbnb.com/rooms/51844357"
"Dubai, United Arab Emirates","25.11103","55.13402","Casablanca Villa By Luxury Explorers Collection","12","12000","ﺩ.ﺇ12,000","AED","false","nightly","12000","ﺩ.ﺇ12,000","AED","false","Entire villa",,"https://www.airbnb.com/rooms/44676263"
"Dubai, United Arab Emirates","25.19152","55.2741","3 Bedrooms Full Burj Khalifa & Fountains view","6","5000","ﺩ.ﺇ5,000","AED","false","nightly","5000","ﺩ.ﺇ5,000","AED","false","Entire serviced apartment",,"https://www.airbnb.com/rooms/50214896"
"Dubai, United Arab Emirates","25.20435","55.27106","RESIDENCE PALAZO VERSACE' - ONE OF BEST IN WORLD","7","5000","ﺩ.ﺇ5,000","AED","false","nightly","5000","ﺩ.ﺇ5,000","AED","false","Entire serviced apartment",,"https://www.airbnb.com/rooms/42251619"
"Dubai, United Arab Emirates","25.11906","55.12652","2021 refurbished best price luxury villa with pool","8","6611","ﺩ.ﺇ6,611","AED","false","nightly","6611","ﺩ.ﺇ6,611","AED","false","Entire villa",,"https://www.airbnb.com/rooms/47854608"
"Dubai, United Arab Emirates","25.11275","55.13857","Luxurious 7 BDR villa in Palm Jumeirah","16","10000","ﺩ.ﺇ10,000","AED","false","nightly","10000","ﺩ.ﺇ10,000","AED","false","Entire villa",,"https://www.airbnb.com/rooms/50238902"
"Dubai, United Arab Emirates","25.10512","55.12901","Tip Frond Villa Palm Jumeirah 5 bed Private Pool","12","8200","ﺩ.ﺇ8,200","AED","false","nightly","8200","ﺩ.ﺇ8,200","AED","false","Entire villa",,"https://www.airbnb.com/rooms/52666228"
"دبي, United Arab Emirates","25.05289","55.27318","NEW: Desert Dream","8","5786","ﺩ.ﺇ5,786","AED","false","nightly","5786","ﺩ.ﺇ5,786","AED","false","Entire villa",,"https://www.airbnb.com/rooms/30680865"
"Dubai, United Arab Emirates","25.11142","55.13973","Impressive Deluxe Flat with Exclusive Beach Access","7","5164","ﺩ.ﺇ5,164","AED","false","nightly","5164","ﺩ.ﺇ5,164","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/48085245"
"Dubai, United Arab Emirates","25.05781","55.16368","4bedroom Villa","10","5600","ﺩ.ﺇ5,600","AED","false","nightly","5600","ﺩ.ﺇ5,600","AED","false","Entire villa",,"https://www.airbnb.com/rooms/49036955"
"Dubai, United Arab Emirates","25.07697","55.14119","Top Floor Penthouse 3 Bedroom with Marina View","7","7000","ﺩ.ﺇ7,000","AED","false","nightly","7000","ﺩ.ﺇ7,000","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/52908432"
"Dubai, United Arab Emirates","25.112","55.13","Rose Dream - 5 Bedrooms Palm Villa on the beach","10","7500","ﺩ.ﺇ7,500","AED","false","nightly","7500","ﺩ.ﺇ7,500","AED","false","Entire villa",,"https://www.airbnb.com/rooms/45097278"
"Dubai, United Arab Emirates","25.12782","55.13049","Emirate's Finest Villa with Dubai Skyline Views","11","11172","ﺩ.ﺇ11,172","AED","false","nightly","11172","ﺩ.ﺇ11,172","AED","false","Entire villa",,"https://www.airbnb.com/rooms/45696593"
"Dubai, United Arab Emirates","25.15624","55.20128","Luxury 4Bed apartment with Eye View","8","6000","ﺩ.ﺇ6,000","AED","false","nightly","6000","ﺩ.ﺇ6,000","AED","false","Entire condo",,"https://www.airbnb.com/rooms/53485503"
"دبي, United Arab Emirates","25.08015","55.1392","One bedroom for monthly rent in dubai marina","2","8000","ﺩ.ﺇ8,000","AED","false","nightly","8000","ﺩ.ﺇ8,000","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/29776256"
"Dubai, United Arab Emirates","25.12647","55.12332","Villa Premium with pool","13","9000","ﺩ.ﺇ9,000","AED","false","nightly","9000","ﺩ.ﺇ9,000","AED","false","Entire villa",,"https://www.airbnb.com/rooms/49105578"
"دبي, United Arab Emirates","25.20212","55.27214","Address Skyview Burj Khalifa view apartment","7","5500","ﺩ.ﺇ5,500","AED","false","nightly","5500","ﺩ.ﺇ5,500","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/53230471"
"Dubai, United Arab Emirates","25.07331","55.13596","PK - 369 - Al Majara 1 105","2","7346","ﺩ.ﺇ7,346","AED","false","nightly","7346","ﺩ.ﺇ7,346","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/33205310"
"Dubai, United Arab Emirates","25.12747","55.13837","6 BDR Luxury Villa in Palm Jumeirah Frond D","16","10000","ﺩ.ﺇ10,000","AED","false","nightly","10000","ﺩ.ﺇ10,000","AED","false","Entire villa",,"https://www.airbnb.com/rooms/51997918"
"Dubai, United Arab Emirates","25.20078","55.27165","5 Star 2 Bedroom Serviced Apt Address Sky View","4","5000","ﺩ.ﺇ5,000","AED","false","nightly","5000","ﺩ.ﺇ5,000","AED","false","Entire condo",,"https://www.airbnb.com/rooms/53303281"
"Dubai, United Arab Emirates","25.08485","55.14441","2 Bed Apt with Stunning Views of Marina - Marina Terrace - Dubai Marina","4","7346","ﺩ.ﺇ7,346","AED","false","nightly","7346","ﺩ.ﺇ7,346","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/20822215"
"Dubai, United Arab Emirates","25.18442","55.2926","SIGNATURE KING ROOM NEAR DUBAI DESIGN DISTRICT BY LUXURY BOOKINGS","2","12411","ﺩ.ﺇ12,411","AED","false","nightly","12411","ﺩ.ﺇ12,411","AED","false","Room in aparthotel",,"https://www.airbnb.com/rooms/580267840227989600"
"Dubai, United Arab Emirates","25.194","55.282","ADDRESS FV-- 4 Bed Serviced Apt w/ Fountain & Burj","10","6500","ﺩ.ﺇ6,500","AED","false","nightly","6500","ﺩ.ﺇ6,500","AED","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/37319296"
"Dubai, United Arab Emirates","25.19898","55.27539","ADDRESS Boulevard 4 Bedroom- Burj & Fountain","10","7500","ﺩ.ﺇ7,500","AED","false","nightly","7500","ﺩ.ﺇ7,500","AED","false","Room in serviced apartment",,"https://www.airbnb.com/rooms/33127180"
"Dubai, United Arab Emirates","25.11768","55.13196","Villa with private pool and beach","16","9155","ﺩ.ﺇ9,155","AED","false","nightly","9155","ﺩ.ﺇ9,155","AED","false","Entire villa",,"https://www.airbnb.com/rooms/48919229"
"Dubai, United Arab Emirates","25.08102","55.13935","Luxury 4B apartment with sea view","8","8000","ﺩ.ﺇ8,000","AED","false","nightly","8000","ﺩ.ﺇ8,000","AED","false","Entire condo",,"https://www.airbnb.com/rooms/53952211"
"Dubai, United Arab Emirates","25.0304","55.26269","Luxurious 5 Bedroom Villa Damac Hills","10","8023","ﺩ.ﺇ8,023","AED","false","nightly","8023","ﺩ.ﺇ8,023","AED","false","Entire villa",,"https://www.airbnb.com/rooms/53389905"
"Dubai, United Arab Emirates","25.12719","55.13766","Furnished Luxury 5Bedroom villa w/Private Pool/B","10","6000","ﺩ.ﺇ6,000","AED","false","nightly","6000","ﺩ.ﺇ6,000","AED","false","Entire villa",,"https://www.airbnb.com/rooms/52211872"
"Dubai, United Arab Emirates","25.20152","55.2711","Lovely 3 Bedroom Serviced Apartment at Downtown","8","5000","ﺩ.ﺇ5,000","AED","false","nightly","5000","ﺩ.ﺇ5,000","AED","false","Entire serviced apartment",,"https://www.airbnb.com/rooms/53580585"
"Dubai, United Arab Emirates","25.11809","55.11891","Beautiful Villa with best sea views","12","6400","ﺩ.ﺇ6,400","AED","false","nightly","6400","ﺩ.ﺇ6,400","AED","false","Entire villa",,"https://www.airbnb.com/rooms/53057131"
"Dubai, United Arab Emirates","25.18475","55.28087","1 Bedroom Apartment in Bay Square City View","3","9999","ﺩ.ﺇ9,999","AED","false","nightly","9999","ﺩ.ﺇ9,999","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/25567492"
"Dubai, United Arab Emirates","25.1183","55.12441","Villa Premium 6 bedrooms","14","7500","ﺩ.ﺇ7,500","AED","false","nightly","7500","ﺩ.ﺇ7,500","AED","false","Entire villa",,"https://www.airbnb.com/rooms/49089933"
"Dubai, United Arab Emirates","25.12626","55.12303","5 Bedroom Luxury Villa Private Beach and Pool","10","6500","ﺩ.ﺇ6,500","AED","false","nightly","6500","ﺩ.ﺇ6,500","AED","false","Entire villa",,"https://www.airbnb.com/rooms/53218683"
"Dubai, United Arab Emirates","25.18521","55.28107","Bespoke Residences - 1 Bedroom City View","2","9999","ﺩ.ﺇ9,999","AED","false","nightly","9999","ﺩ.ﺇ9,999","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/25567182"
"دبي, United Arab Emirates","25.01644","55.2705","Contemporary Design 5BR Villa In Piccadilly Green","4","8000","ﺩ.ﺇ8,000","AED","false","nightly","8000","ﺩ.ﺇ8,000","AED","false","Entire villa",,"https://www.airbnb.com/rooms/47281551"
"Dubai, United Arab Emirates","25.12382","55.1286","Cheerful 7-bedroom villa with pool and beach","15","14000","ﺩ.ﺇ14,000","AED","false","nightly","14000","ﺩ.ﺇ14,000","AED","false","Entire villa",,"https://www.airbnb.com/rooms/53874113"
"Dubai, United Arab Emirates","25.07265","55.15792","Stylish and new private villa in beautiful Meadows","6","4999","ﺩ.ﺇ4,999","AED","false","nightly","4999","ﺩ.ﺇ4,999","AED","false","Entire villa",,"https://www.airbnb.com/rooms/52332871"
"Dubai, United Arab Emirates","25.19339","55.28709","Studio Apartment in Downtown, BURJ VIEWS 2 month","2","6000","ﺩ.ﺇ6,000","AED","false","nightly","6000","ﺩ.ﺇ6,000","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/14600630"
"Dubai, United Arab Emirates","25.12397","55.14518","Beautiful Villa with 4 bedrooms +maid room","10","6000","ﺩ.ﺇ6,000","AED","false","nightly","6000","ﺩ.ﺇ6,000","AED","false","Entire villa",,"https://www.airbnb.com/rooms/53074833"
"Dubai, United Arab Emirates","25.12839","55.13395","Luxury  Villa   ThePalm Jumeirah ""","14","9183","ﺩ.ﺇ9,183","AED","false","nightly","9183","ﺩ.ﺇ9,183","AED","false","Entire home",,"https://www.airbnb.com/rooms/26288494"
"Dubai, United Arab Emirates","25.20822","55.24655","Unique Arty villa [ONLY PHOTO SHOOTING]","16","5500","ﺩ.ﺇ5,500","AED","false","nightly","5500","ﺩ.ﺇ5,500","AED","false","Entire villa",,"https://www.airbnb.com/rooms/52257215"
"Dubai, United Arab Emirates","25.18488","55.2809","Studio Apartment in Bay Square Creek View","2","9999","ﺩ.ﺇ9,999","AED","false","nightly","9999","ﺩ.ﺇ9,999","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/25568052"
"Dubai, United Arab Emirates","25.1895","55.27139","Address Skyview 3BR with amazing view","7","6000","ﺩ.ﺇ6,000","AED","false","nightly","6000","ﺩ.ﺇ6,000","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/53733866"
"Dubai, United Arab Emirates","25.08952","55.1505","Unique Inner City Living 2BR with Maids 23 Marina","5","5500","ﺩ.ﺇ5,500","AED","false","nightly","5500","ﺩ.ﺇ5,500","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/49413050"
"Dubai, United Arab Emirates","25.12147","55.12765","Gorgeous 6B Villa on Palm Jumeilrah, Frond D","12","11000","ﺩ.ﺇ11,000","AED","false","nightly","11000","ﺩ.ﺇ11,000","AED","false","Entire villa",,"https://www.airbnb.com/rooms/53388277"
"Dubai, United Arab Emirates","25.09145","55.14827","2 Bedroom Apartment | Ocean Heights | Dubai Marina","4","7346","ﺩ.ﺇ7,346","AED","false","nightly","7346","ﺩ.ﺇ7,346","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/23029264"
"Dubai, United Arab Emirates","25.12406","55.13964","Luxury5BR villa on Palm Jumeirah front O","11","7530","ﺩ.ﺇ7,530","AED","false","nightly","7530","ﺩ.ﺇ7,530","AED","false","Entire home",,"https://www.airbnb.com/rooms/33060983"
"Dubai, United Arab Emirates","25.11347","55.14004","Прекрасная вилла с удобствами для вашего отдыха!","15","6000","ﺩ.ﺇ6,000","AED","false","nightly","6000","ﺩ.ﺇ6,000","AED","false","Entire villa",,"https://www.airbnb.com/rooms/52313504"
"دبي, United Arab Emirates","25.18799","55.28027","Stay in the heart of Dubai!!!","4","6000","ﺩ.ﺇ6,000","AED","false","nightly","6000","ﺩ.ﺇ6,000","AED","false","Room in hotel",,"https://www.airbnb.com/rooms/47008505"
"Dubai, United Arab Emirates","25.129","55.134","OCEANVIEW HOLIDAY HOMES Beachfront Private Villa D","10","7500","ﺩ.ﺇ7,500","AED","false","nightly","7500","ﺩ.ﺇ7,500","AED","false","Entire villa",,"https://www.airbnb.com/rooms/44394123"
"Dubai, United Arab Emirates","25.12711","55.12335","Beautiful Villa 5 bedrooms","12","7800","ﺩ.ﺇ7,800","AED","false","nightly","7800","ﺩ.ﺇ7,800","AED","false","Entire villa",,"https://www.airbnb.com/rooms/49377485"
"Dubai, United Arab Emirates","25.20042","55.27329","Crypto house 3B at Address Skyview 5*","7","5500","ﺩ.ﺇ5,500","AED","false","nightly","5500","ﺩ.ﺇ5,500","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/53733609"
"Dubai, United Arab Emirates","25.12703","55.12188","Luxury Villa o Palm Jumeirah","11","7299","ﺩ.ﺇ7,299","AED","false","nightly","7299","ﺩ.ﺇ7,299","AED","false","Entire villa",,"https://www.airbnb.com/rooms/49599560"
"Dubai, United Arab Emirates","25.12998","55.13397","Villa premium Palm Jumeirah","12","6500","ﺩ.ﺇ6,500","AED","false","nightly","6500","ﺩ.ﺇ6,500","AED","false","Entire villa",,"https://www.airbnb.com/rooms/48823204"
"Dubai, United Arab Emirates","25.08941","55.14422","Fantastic apt facing sea front barasti 14persons","10","8753","ﺩ.ﺇ8,753","AED","false","nightly","8753","ﺩ.ﺇ8,753","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/37545499"
"Dubai, United Arab Emirates","25.0775","55.13318","Luxury 4 Bedroom Duplex Penthouse  at JBR","10","6000","ﺩ.ﺇ6,000","AED","false","nightly","6000","ﺩ.ﺇ6,000","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/38639006"
"Dubai, United Arab Emirates","25.10544","55.1483","THE FIVE Beachfront Four Bedroom Penthouse w/pool","6","8500","ﺩ.ﺇ8,500","AED","false","nightly","8500","ﺩ.ﺇ8,500","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/52066863"
"Dubai, United Arab Emirates","25.11258","55.13209","Ultimate Luxury sea front villa with private pool","8","15034","ﺩ.ﺇ15,034","AED","false","nightly","15034","ﺩ.ﺇ15,034","AED","false","Entire villa",,"https://www.airbnb.com/rooms/54044711"
"دبي, United Arab Emirates","25.06891","55.16287","Iconic Golf Facing Six Bed Villa in Emirates Hills","12","19999","ﺩ.ﺇ19,999","AED","false","nightly","19999","ﺩ.ﺇ19,999","AED","false","Entire villa",,"https://www.airbnb.com/rooms/51697575"
"Dubai, United Arab Emirates","25.10447","55.12","Best luxury villa on Palm Jumeirah","4","20000","ﺩ.ﺇ20,000","AED","false","nightly","20000","ﺩ.ﺇ20,000","AED","false","Entire villa",,"https://www.airbnb.com/rooms/52344583"
"Dubai, United Arab Emirates","25.11317","55.13828","Superb Villa with big Swimming Pool in Dubai","11","15204","ﺩ.ﺇ15,204","AED","false","nightly","15204","ﺩ.ﺇ15,204","AED","false","Entire villa",,"https://www.airbnb.com/rooms/45632995"
"Dubai, United Arab Emirates","25.11204","55.12982","Stunning 5 Bedroom Villa at the Palm Jumeirah","10","15000","ﺩ.ﺇ15,000","AED","false","nightly","15000","ﺩ.ﺇ15,000","AED","false","Entire villa",,"https://www.airbnb.com/rooms/49599585"
"Dubai, United Arab Emirates","25.1952","55.28475","THREE BEDROOM APARTMENT IN DOWNTOWN NEXT TO DUBAI MALL BY LUXURY BOOKINGS","6","12411","ﺩ.ﺇ12,411","AED","false","nightly","12411","ﺩ.ﺇ12,411","AED","false","Room in aparthotel",,"https://www.airbnb.com/rooms/583809410818682900"
"Dubai, United Arab Emirates","25.11195","55.13992","Split-level Villa with Gorgeous Beach View","12","16002","ﺩ.ﺇ16,002","AED","false","nightly","16002","ﺩ.ﺇ16,002","AED","false","Entire villa",,"https://www.airbnb.com/rooms/45637586"
