,URL,building,district,neighborhood,price,beds,baths,surface,lat,long,highlights,furnishing,amenities,completion_year,floor,price_sqf,views,discounted,cheap,distressed,investment,tenanted,vacant,metro,furnished,condition,upgraded,luxury,median_sqf,diff_percent,valuation
176,"https://www.bayut.com/property/details-5628051.html
",Lake Point Tower,Jumeirah Lake Towers (JLT),JLT Cluster N,900000,2.0,4,1590.0,25.063355,55.137683,"Best Price, Vacant, Spacious Unit",Unfurnished,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Jacuzzi', 'Electricity Backup', 'Parking Spaces', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Storage Areas', 'Balcony or Terrace', 'Lobby in Building', 'Completion Year: 2007', 'First Aid Medical Center', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Day Care Center', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Waste Disposal', 'Cleaning Services', 'Business Center', 'Security Staff', 'CCTV Security', 'Laundry Room', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'ATM Facility', '24 Hours Concierge']",2007,,566.0377358490566,0,0,1,0,0,0,1,0,0,0,,0,982.4350378626733,-42.38420719597966,good value
178,"https://www.bayut.com/property/details-5638988.html
",,Business Bay,Ontario Tower,900000,2.0,2,982.0,25.186073,55.262314,"Distress Sale 2BR, Ready to Move-in, Pool View",Unfurnished,"['Furnished', 'Parking Spaces', 'Swimming Pool', 'Centrally Air-Conditioned', 'Furnished', 'Parking Spaces', 'Centrally Air-Conditioned', 'Lobby in Building', 'Service Elevators', 'Completion Year: 2009', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Waste Disposal', 'Security Staff', 'CCTV Security', 'Laundry Room', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2009,,916.4969450101833,1,0,0,1,0,0,0,0,0,0,,0,1411.16158125144,-35.0537204820004,good value
191,"https://www.bayut.com/property/details-5569183.html
",,Dubai Sports City,Hub Canal 1 Tower,399888,1.0,2,967.0,25.042861,55.217764,"Massive 1BR, Chiller Free, Lowest Price",,"['Parking Spaces', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Parking Spaces', 'Centrally Air-Conditioned', 'Lobby in Building', 'Completion Year: 2007', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Waste Disposal', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2007,,413.5346432264736,0,0,0,0,0,0,0,0,0,0,,0,605.1016494054468,-31.658648818293713,good value
195,"https://www.bayut.com/property/details-5546726.html
",,Dubai Marina,Marina Pinnacle,1030000,2.0,2,1219.0,25.08869934082,55.14820098877,"City Outside, Peaceful Inside, Newly Renovated",Unfurnished,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Jacuzzi', 'Electricity Backup', 'Parking Spaces', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Completion Year: 2008', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Kids Play Area', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2008,,844.954881050041,0,0,0,0,0,0,0,0,0,0,,0,1528.2555282555284,-44.7111516740568,good value
207,"https://www.bayut.com/property/details-5583289.html
",,Business Bay,Avanti Tower,599990,0.0,1,543.0,25.176704,55.271125,Fully furnished studio I Prestigious Home,,['Balcony or Terrace'],0,,1104.953959484346,0,0,0,0,0,0,0,0,1,0,,0,1593.137254901961,-30.64288992775184,good value
208,"https://www.bayut.com/property/details-5491975.html
",,Downtown Dubai,RP Heights,3000000,2.0,3,1855.0,25.194829,55.284438,"Brand New, Bright & Spacious, High Floor, Vacant",Unfurnished,"['Balcony or Terrace', 'Swimming Pool', 'Centrally Air-Conditioned', 'Gym or Health Club', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Security Staff', 'CCTV Security', 'Freehold']",0,,1617.2506738544475,0,0,0,0,0,0,1,0,0,1,,1,2356.7802755620014,-31.3788098693759,good value
209,"https://www.bayut.com/property/details-5839309.html
",Golden Mile 3,Palm Jumeirah,Golden Mile,1999980,2.0,3,1886.0,25.106388,55.147462,"HUGE BALCONY, MID FLOOR,2BR FOR SALE",Unfurnished,"['Parking Spaces: 1', 'Swimming Pool', 'Jacuzzi', 'View', 'Parking Spaces: 1', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'CCTV Security', '24 Hours Concierge', 'View']",0,,1060.4347826086955,0,0,0,0,0,0,0,0,0,0,,0,1611.1111111111109,-34.17991004497752,good value
222,"https://www.bayut.com/property/details-5665334.html
",Lincoln Park B,Arjan,Lincoln Park,450000,1.0,2,963.0,25.060859,55.238185,"Bright Interior, Spacious Living,Fully Furnished",Furnished,"['Furnished', 'Balcony or Terrace', 'Parking Spaces: 1', 'Swimming Pool', 'Furnished', 'Electricity Backup', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Sauna', 'Maintenance Staff', 'Satellite/Cable TV', '24 Hours Concierge']",0,,467.2897196261682,0,0,0,0,0,0,0,0,1,0,,0,921.5062571103524,-49.290662323716674,good value
223,"https://www.bayut.com/property/details-5618466.html
",,Downtown Dubai,Mada Residences by ARTAR,3199989,3.0,4,2196.0,25.193583,55.285234,Spacius 3 Bed + maid High Floor fully Furnished,,"['Balcony or Terrace', 'Maids Room']",0,,1457.1898907103823,0,0,0,0,0,0,0,0,1,0,,0,2794.026135656503,-47.84623264205826,good value
228,"https://www.bayut.com/property/details-5539343.html
",Sadaf 5,Jumeirah Beach Residence (JBR),Sadaf,1600000,2.0,3,1447.0000000000002,25.080841569186,55.137214177089,"Sea View, 2 En-Suite Bedrooms, Vacant",,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Electricity Backup', 'Electricity Backup', 'Parking Spaces', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Completion Year: 2006', 'First Aid Medical Center', 'Swimming Pool', 'Kids Play Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'ATM Facility', '24 Hours Concierge']",2006,,1105.73600552868,1,0,0,0,0,0,1,0,0,0,,0,1708.0745341614906,-35.26418294904819,good value
251,"https://www.bayut.com/property/details-5936796.html
",Marina Diamond 6,Dubai Marina,Marina Diamonds,1100000,2.0,2,1085.0,25.080789,55.145815,"MARINA VIEW, UNFURNISHED, NEAR BY METRO",Unfurnished,"['Balcony or Terrace', 'Parking Spaces: 1', 'Swimming Pool', 'Floor: 20', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Elevators in Building: 4', 'Service Elevators', 'Completion Year: 2008', 'Reception/Waiting Room', 'Flooring', 'Total Floors: 20', 'First Aid Medical Center', 'Gym or Health Club', 'Facilities for Disabled', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Day Care Center', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Laundry Room', 'Laundry Facility', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Floor: 20', 'View', 'Freehold']",2008,20.0,1013.8248847926268,1,0,0,0,0,0,0,0,1,0,,0,1528.2555282555284,-33.66129773141495,good value
254,"https://www.bayut.com/property/details-5939860.html
",Golden Mile 3,Palm Jumeirah,Golden Mile,2049999,2.0,3,1886.0,25.106388,55.147462,"VACANT, SEA VIEW, L TYPE BALCONY",Unfurnished,"['Balcony or Terrace', 'Parking Spaces: 1', 'Swimming Pool', 'Floor: 4', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Storage Areas', 'Balcony or Terrace', 'Lobby in Building', 'Elevators in Building: 2', 'Completion Year: 2009', 'Reception/Waiting Room', 'Flooring', 'Total Floors: 10', 'First Aid Medical Center', 'Gym or Health Club', 'Facilities for Disabled', 'Swimming Pool', 'Jacuzzi', 'Day Care Center', 'Kids Play Area', 'Lawn or Garden', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Laundry Room', 'Laundry Facility', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Floor: 4', 'View']",2009,4.0,1086.9559915164368,1,0,0,0,0,0,1,0,0,0,,0,1611.1111111111109,-32.53376604380736,good value
255,"https://www.bayut.com/property/details-5914701.html
",South Ridge 1,Downtown Dubai,South Ridge Towers,2199000,2.0,3,1491.0,25.186969,55.276799,"Motivated Seller, Spacious, Canal View",,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Jacuzzi', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Barbeque Area']",0,,1474.8490945674043,1,0,0,0,0,0,0,0,0,0,,0,2356.7802755620014,-37.42101841820153,good value
268,"https://www.bayut.com/property/details-5807063.html
",The Lofts East,Downtown Dubai,The Lofts,1175000,1.0,2,916.0,25.197323,55.270276,Tenanted / No notice given / Tower East / Mid Floor,,[],0,,1282.7510917030568,0,0,0,0,0,1,0,0,0,0,,0,1938.8372968573603,-33.839157427894875,good value
283,"https://www.bayut.com/property/details-5920049.html
",,Downtown Dubai,Burj Al Nujoom,1700000,2.0,3,1373.0,25.191151,55.282047,"High floor, Canal view, VOT, Spacious",,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Centrally Air-Conditioned', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Completion Year: 2009', 'Gym or Health Club', 'Swimming Pool', 'Waste Disposal', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2009,,1238.164603058995,1,0,0,0,0,0,0,0,0,0,,0,2356.7802755620014,-47.4637234578968,good value
317,"https://www.bayut.com/property/details-5901511.html
",Emirates Gardens 2,Jumeirah Village Circle (JVC),JVC District 14,315000,0.0,1,550.0,25.048001,55.205121,STUDIO APARTMENT FOR SALE IN JVC,Unfurnished,"['Swimming Pool', 'Steam Room', 'Centrally Air-Conditioned', 'Gym or Health Club', 'Centrally Air-Conditioned', 'Gym or Health Club', 'Swimming Pool', 'Steam Room', 'Kids Play Area', 'Barbeque Area']",0,,572.7272727272727,0,0,0,0,0,0,0,0,0,0,,0,930.2325581395348,-38.43181818181818,good value
323,"https://www.bayut.com/property/details-5903577.html
",Ubora Tower 1,Business Bay,U-Bora Tower,1100000,1.0,2,1294.0,25.179956,55.269723,Motivated Seller Huge Lay Out Investor Deal,Unfurnished,"['Balcony or Terrace', 'Parking Spaces: 1', 'Swimming Pool', 'View', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Intercom', 'ATM Facility', '24 Hours Concierge', 'View']",0,,850.0772797527048,0,0,0,0,1,0,0,0,0,0,,0,1305.23754217134,-34.87183349487857,good value
330,"https://www.bayut.com/property/details-5902405.html
",Bellevue Tower 1,Downtown Dubai,Bellevue Towers,1600000,1.0,1,1318.0,25.187137,55.275907,Ready To Move In Luxury Apart Huge Lay Out,Unfurnished,"['Balcony or Terrace', 'Parking Spaces: 1', 'Swimming Pool', 'Centrally Air-Conditioned', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Elevators in Building', 'Service Elevators', 'Prayer Room', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'ATM Facility']",0,,1213.9605462822458,0,0,0,0,0,0,0,0,0,0,,0,1750.4454545454546,-30.6484790411547,good value
333,"https://www.bayut.com/property/details-5914878.html
",Ubora Tower 1,Business Bay,U-Bora Tower,2250000,2.0,4,3037.0,25.179956,55.269723,"Unique layout, 2 BR, 2 Parking, Terrace",,"['Balcony or Terrace', 'Maids Room', 'Centrally Air-Conditioned', 'Central Heating', 'Centrally Air-Conditioned', 'Central Heating', 'Balcony or Terrace', '24 Hours Concierge', 'Maids Room']",0,,740.8626934474811,0,0,0,0,0,0,0,0,0,0,,0,1140.3965088723194,-35.034640348023956,good value
363,"https://www.bayut.com/property/details-5685369.html
",Murjan 3,Jumeirah Beach Residence (JBR),Murjan,1900000,2.0,2,1466.0000000000002,25.082584,55.139399,"Sea and Marina View, Murjan 3, 2 Bedroom",Furnished,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Centrally Air-Conditioned', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Completion Year: 2006', 'First Aid Medical Center', 'Swimming Pool', 'Kids Play Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Security Staff', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'ATM Facility', '24 Hours Concierge']",2006,,1296.043656207367,1,0,0,0,0,0,0,0,0,0,,0,1872.07488299532,-30.769668030923157,good value
371,"https://www.bayut.com/property/details-5881862.html
",,Dubai Marina,Azure,1450000,2.0,2,1732.0000000000002,25.072999954224,55.13740158081,"Huge Balcony, Reduced Price, Metro Link",Furnished,"['Furnished', 'Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Furnished', 'Electricity Backup', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Completion Year: 2005', 'Swimming Pool', 'Sauna', 'Barbeque Area', 'Waste Disposal', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2005,,837.1824480369514,0,1,0,0,0,0,0,0,0,0,,0,1528.2555282555284,-45.219733705620705,good value
379,"https://www.bayut.com/property/details-5886484.html
",Diamond Views III,Jumeirah Village Circle (JVC),Diamond Views,1550000,3.0,4,3699.0,25.062218,55.217732,"Upgraded, Spacious Duplex , Vaccant",Unfurnished,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Flooring', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Flooring', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Lawn or Garden', 'Waste Disposal', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Freehold']",0,,419.0321708569884,0,0,0,0,0,0,0,0,0,0,upgraded,0,900.4634794156707,-53.464834450708985,great value
393,"https://www.bayut.com/property/details-5834190.html
",Sadaf 8,Jumeirah Beach Residence (JBR),Sadaf,2300000,4.0,4,2723.0,25.080684533226,55.138990914355,"Marina View, Spacious Living, 4 Bed Plus Maids",,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Centrally Air-Conditioned', 'Parking Spaces', 'Centrally Air-Conditioned', 'Central Heating', 'Balcony or Terrace', 'Lobby in Building', 'Completion Year: 2006', 'First Aid Medical Center', 'Swimming Pool', 'Kids Play Area', 'Lawn or Garden', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'ATM Facility', '24 Hours Concierge']",2006,,844.6566287183254,1,0,0,0,0,0,0,0,0,0,,0,1309.9542609757782,-35.52014342171421,good value
411,"https://www.bayut.com/property/details-5805775.html
",8 Boulevard Walk,Downtown Dubai,Mohammad Bin Rashid Boulevard,1090000,1.0,1,1063.0,25.191167,55.269865,"Corner Unit, Rented, Balcony, Business Bay View",,"['Balcony or Terrace', 'Swimming Pool', 'Centrally Air-Conditioned', 'Gym or Health Club', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Gym or Health Club', 'Swimming Pool', 'ATM Facility', '24 Hours Concierge']",0,,1025.3998118532456,1,0,0,0,0,1,0,0,0,0,,0,1750.4454545454546,-41.42063614775615,good value
423,"https://www.bayut.com/property/details-5804414.html
",Golden Mile 9,Palm Jumeirah,Golden Mile,1400000,1.0,1,1304.0,25.111828,55.140392,"Spacious One Bedroom, Very Close to Nakheel Mall",,[],0,,1073.6196319018404,0,0,0,0,0,0,0,0,0,0,,0,2462.286414836728,-56.397451351205575,great value
457,"https://www.bayut.com/property/details-5831737.html
",Emirates Gardens 2,Jumeirah Village Circle (JVC),JVC District 14,325000,0.0,1,500.0,25.049281,55.20538,"EXQUISITE VICINITY, MAGNOLIA 2, STUDIO,",,"['Swimming Pool', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Storage Areas', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Storage Areas', 'Lobby in Building', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Freehold']",0,,650.0,0,0,0,0,0,0,0,0,0,0,,0,930.2325581395348,-30.124999999999986,good value
458,"https://www.bayut.com/property/details-5822784.html
",Emirates Gardens 2,Jumeirah Village Circle (JVC),JVC District 14,315000,0.0,1,550.0,25.048001,55.205121,"Bright Studio, Investor Deal, Tenanted",,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Centrally Air-Conditioned', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Gym or Health Club', 'Swimming Pool']",0,,572.7272727272727,0,0,0,0,1,1,0,0,0,0,,0,930.2325581395348,-38.43181818181818,good value
472,"https://www.bayut.com/property/details-5830546.html
",Reehan 3,Old Town,Reehan,2200000,2.0,2,1412.0,25.189399,55.27734,"Lowest Price, Real Deal, Vacant Must View",Unfurnished,"['Balcony or Terrace', 'Parking Spaces: 1', 'Swimming Pool', 'Floor: 1', 'Electricity Backup', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Study Room', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Prayer Room', 'Reception/Waiting Room', 'Flooring', 'First Aid Medical Center', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Kids Play Area', 'Barbeque Area', 'Cafeteria or Canteen', 'Business Center', 'Conference Room', 'Security Staff', 'CCTV Security', 'Laundry Room', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'ATM Facility', '24 Hours Concierge', 'Floor: 1', 'View', 'Freehold']",0,1.0,1558.0736543909347,1,0,0,0,0,0,1,0,0,0,,0,2313.8105567606653,-32.6620042492918,good value
